65537,1,1,0,0,ソード,1,1010001,
281474976776193,1,1,0,1,アルバソード,2,1010002,
562949953486849,1,1,0,2,ヴィタソード,3,1010003,
844424930197505,1,1,0,3,ギガッシュ,1,1010004,
1125899906908161,1,1,0,4,アルバギガッシュ,2,1010005,
1407374883618817,1,1,0,5,ヴィタギガッシュ,3,1010006,
1688849860329473,1,1,0,6,ブレイカー,1,1010007,
1970324837040129,1,1,0,7,アルバブレイカー,2,1010008,
2251799813750785,1,1,0,8,ヴィタブレイカー,3,1010009,
2533274790461441,1,1,0,9,クレイモア,4,1010010,
2814749767172097,1,1,0,10,アルバクレイモア,5,1010011,
3096224743882753,1,1,0,11,ヴィタクレイモア,6,1010012,
3377699720593409,1,1,0,12,キャリバー,4,1010013,
3659174697304065,1,1,0,13,アルバキャリバー,5,1010014,
3940649674014721,1,1,0,14,ヴィタキャリバー,6,1010015,
4222124650725377,1,1,0,15,コートエッジ,8,1010016,
4503599627436033,1,1,0,16,タルナーダ,8,1010017,
4785074604146689,1,1,0,17,ラムダアーディロウ,9,1010018,
5066549580857345,1,1,0,18,ディオアーディロウ,10,1010019,
5348024557568001,1,1,0,19,アーディロウ,9,1010020,
5629499534278657,1,1,0,20,アリスティン,8,1010035,
5910974510989313,1,1,0,21,ディオアリスティン,10,1010036,
6192449487699969,1,1,0,22,ラムダアリスティン,8,1010037,
6473924464410625,1,1,0,23,ザックス,7,1010021,
6755399441121281,1,1,0,24,ブリザックス,7,1010033,
7036874417831937,1,1,0,25,ブレイザックス,9,1010034,
7599824371253249,1,1,0,27,ラストサバイバー,7,1010023,
7881299347963905,1,1,0,28,ザンバ,7,1010024,
8162774324674561,1,1,0,29,アカツキ,14,1010031,
8444249301385217,1,1,0,30,[NPC]ヤスダクイナソード,7,1010341,
8725724278095873,1,1,0,31,ドラゴンスレイヤー,10,1010027,
9007199254806529,1,1,0,32,フォルトゥナ,10,1010028,
9288674231517185,1,1,0,33,マダムノアマガサ,10,1010029,
9570149208227841,1,1,0,34,エリュシオーヌ,12,1010030,
9851624184938497,1,1,0,35,世果・封,10,1010025,
10133099161649153,1,1,0,36,世果,11,1010026,
10414574138359809,1,1,0,37,イクタチ,9,1010038,
10696049115070465,1,1,0,38,ルインシャルム,10,1010046,
11258999068491777,1,1,0,40,ディニアエッジ,8,1010039,
11540474045202433,1,1,0,41,サディーナエッジ,10,1010041,
11821949021913089,1,1,0,42,ヴォルスケイル,8,1010040,
12103423998623745,1,1,0,43,バーンスパーダ,10,1010042,
12384898975334401,1,1,0,44,エルダーペイン,10,1010047,
12666373952045057,1,1,0,45,スペース・ツナ,8,1010044,
12947848928755713,1,1,0,46,トラディシオン／ナハト,7,1010045,
13229323905466369,1,1,0,47,コートエッジＤ,10,1010043,
13510798882177025,1,1,0,48,フリーズ・ツナ,8,1010048,
13792273858887681,1,1,0,49,ルインミラーシ,10,1010049,
14073748835598337,1,1,0,50,ルイングローム,10,1010050,
14355223812308993,1,1,0,51,アーレスソード,13,1010052,
14636698789019649,1,1,0,52,紅葉姫,11,1010053,
14918173765730305,1,1,0,53,フラメブランド,10,1010054,
15199648742440961,1,1,0,54,トレイターリニア,10,1010055,
15481123719151617,1,1,0,55,ザッパーエッジ,10,1010056,
15762598695862273,1,1,0,56,アズロリンガー,9,1010057,
16044073672572929,1,1,0,57,ロッソリンガー,10,1010058,
16325548649283585,1,1,0,58,ヴェルデリンガー,10,1010059,
16607023625994241,1,1,0,59,クルセイドロア,10,1010060,
17169973579415553,1,1,0,61,シャープサイクラー,11,1010062,
17451448556126209,1,1,0,62,ライトニングエスパーダ,12,1010063,
17732923532836865,1,1,0,63,デイジーチェイン,11,1010064,
18295873486258177,1,1,0,65,スティールハーツ,7,1010066,
18858823439679489,1,1,0,67,トレイターグリフ,11,1010068,
19421773393100801,1,1,0,69,ステルスウェポン：SW,1,1010999,
19703248369811457,1,1,0,70,ウィングスパーダ,7,1010070,
19984723346522113,1,1,0,71,赤のソード,7,1010071,
20266198323232769,1,1,0,72,青のソード,7,1010072,
